"id","profileName","text","date","title","rating","images","helpful","variant:colour"
"R1YB8ELEYXY6U6","Parmesh Chopra","IN BRIEF - if you can afford it, excellent balanced sound (no bass heavy stuff), best noise cancellation in all earphones, best fitting earphones in the world. Marvelous for gym also as they're sweat resistant. Mic only on right earbud seems a drawback. Bose music app is very basic. No equalizer offered too.Bought these before Diwali after a lot of research. Absolutely loved them. I use them while taking long walks or editing videos while attending a workshop simultaneously.THE MOST USEFUL FEATUREThe microphone embedded on the right earbud is unbelievably powerful. It cancels external noise during phone calls and focuses only on your voice. And all this while just being a tiny insertion in your ear. Remarkable. Almost hard to believe at first.COMFORT AND FITBose gives you three tip sizes to adjust on the eaebubds before you start using them. Finding  right tip is not optional. It is compulsory if you wish to experience active noise cancellation. Please note that once you get your ear tip size right, noise cancellation feature comes into play only then. And the noise cancellation is very very powerful. It is the best among the rest.ONCE IT FITS, IT WON'T COME OUT OF EARI jog, I run, I jump. My earbuds remain intact inside my ears. Grip is unbelievably firm. The lever fits so well in the ear. No chance of it popping out anytime. But please note you have to find your correct ear tip size before comfort and fit points stated by me become true for you.THE GOOD ABOUT THESEThe best feature in these as per my usage and observation is their ability to make your voice heard to the listener on a phone call in a noisy environment. So in my case I walk along traffic on a busy road in Gurgaon. But when I call using the earbuds, it is silky smooth. I hear the audio of the person at  the other end as swiftly as they hear mine. I double check with everyone when starting a call in traffic and they all have said they don't think I'm in traffic at all as my voice goes through super clear even after noise reduction. Excellent technology.Another great feature is double tap on earbuds to pick call without having the need to touch smartphone. And automatic playing of a YouTube video after a call in case you were watching before.Yet another remarkable feature, if not the most powerful one among all competitors - best noise cancellation for earbuds. Their noise cancellation and audio output gives a run for money to a full size over ear headphones. The overall experience is outstanding.THE NOT SO GOODBass lovers might be disappointed. The audio print of these earphones is neutral. They deliver naturally sounding crisp audio. No treble heavy or bass heavy.THE BADMicrophone is embedded only on right earbud. So if you wish to wear only left one, you can't take calls.You can't keep right earbud inside the case and insert only left earbud in your ear to listen to music. The right earbud has to be taken out of the case and kept outside if you only wish to use the left one.Prolonged usage might cause burning sensation in ear.","Reviewed in India on 12 December 2020","The most comfortable, phone call making earbuds of 2020","5.0 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/916WsYFC9NL.jpg
https://images-na.ssl-images-amazon.com/images/I/91G31WtUC4L.jpg
https://images-na.ssl-images-amazon.com/images/I/91h5sclkT3L.jpg","42","Soapstone"
"RFH5I3CD2BEG7","Alex Selven1","I dunno from where I should start but I must say for this current price bracket it's pretty good .You need a good music player though to extract out the best music .it's not a naturally enabled music earbuds like Sennheiser momentum 3 and most of the sony products gut it's ANC is just out of the box .I own a Sennheiser momentum but it's ANC such to the core and left bud not working as usual .today we are in the arena of 2023 but still 2019 ,2020 earbuds are reigning coz they have not let the signature music bow down .I have opted for this unlike the comfort 2 coz of the factor of music that entire sux in evolution and bo wireless chargin out thereI will just mention some drop downs with pros and cons that would help the new buyersLet's start with pros1)I have never seen a better ANC and music syncing so well .there are so many earbuds that do give better ANC than this but with the ANC it entirely detoriates the music .story out here is entirely different .it gives you a great music with ANC too .Also the modes of ANC is amazing .It does really work if you are an audiophile and you can adjust the exact level of ANC2)It would take some time to burn but even during the burning battery surprisingly doesn't drain that much .overall battery is a masterstroke too3)Processing, detailing and streching the vocals voice with absolute enigmatic clarity .I am amazedThere are some drops .will say in my negative side.4)Even for call it's really amazing .so if you are an office person or some virtual presentation handler it's great .if you are solely for then go for the 2nd version5)also the wig buds and fitting is spectacular.depending on your ear size they have provided 2 additional wing buds6)The voice is not recessed at all and Bgm is quite balanced .just keep burning it regularly as the drivers need to worked out well .audiophile's can nail it7)vibration and the surround with nostalgia 90's feelings is great but still about a perspectiveNow let's see the negative sideCONS1)I expected some good  sound seperation with the vocals and instruments .That is very mediocre here2) music beats and style of streching is it's signature but a Lil predictable .Not a major concern3)I even own a YAMAHA but that surprisingly gives a good treble .here this is more of a bass occupied earbud .Treble is not that very greatClose your eyes and if your a Bass person.if you are treble person like me bag with some dark sides .4)It has a premium and sophisticated sound with some mediocre 's sound like Velvet's .that's a magician I do agree but I still feel it lacks in alteration especially in the high range .again you can ignore this coz it's not that bad and very less .5)Size of the case is quite huge .leaner and compact would have been much betterFinal verdict:I am rating it 4/5 coz I feel APP could have been more inovative for audiophile's and some minor catch .Still I will get back if there is any issue .I am lining up for some other earbuds too .if Fortunes help me to turn better ⭐⭐⭐If anyone  have any doubt or reluctant to buy this earbuds  or any earbuds .you all are always welcome to connect me on my mail id alex_selven@yahoo.comFeel free and I wish my every helped all of you .thanks","Reviewed in India on 20 August 2023","Sound clarity and detailing is amazing","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61q8v8Yk30L.jpg
https://m.media-amazon.com/images/I/81Ps3RxGFSL.jpg","34","Triple Black"
"R1MNU0U57BWVW8","Abhishek Sinha Roy","I was not sure how the stable the earbuds would be in my ears as the ear buds looks bigger but trust me it fit perfectly with the side lock hold it perfectly fine even when we sweats Surprisingly there is no discomfort even after 6 hours of constant use.It’s very light weight and comfortableAppearance: Love the Bose logo on the case and on earbuds.. the Bose logo engraving on the earbuds gives it a very premium look. battery life is solid with 6 hours wear and my anc was on / off as I was shopping in marketSound quality is very balanced . Nothing was overdone.I got this great product very cheap during great Indian festival sale along with 1 year extended warranty for Rs 1 .. BOSE IS BOSS .. I would give it 5 /5. I am no sound expert but in my opinion for it is awesome..","Reviewed in India on 8 October 2023","Loved it","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71-uhOk18XL.jpg","2","Triple Black"
"R1YZ3MY33XA8K7","nagaprasad.g","Black colour coated left","Reviewed in India on 24 January 2024","Fenshing colour","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71SmZiaJshL.jpg","0","Triple Black"
"R19QVLJE52SW57","Er. Kumar Harshal Sir","Sound , look and quality of this product is good.","Reviewed in India on 7 October 2023","Good product","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61Z3V2HqIoL.jpg
https://m.media-amazon.com/images/I/61meK3UZ6fL.jpg","3","Triple Black"
"RE3C941TXD7SB","Rohit matte","I recently purchased a pair of earphones that turned out to be a complete disappointment. Not only did they fail to meet my expectations, but they were also a complete waste of my hard-earned money. Here's why I believe these earphones deserve such a poor review:Terrible Sound Quality: The most crucial aspect of any earphones is their sound quality, and these earphones failed miserably in that department. The audio was muffled, lacking clarity, and the bass was virtually nonexistent. I couldn't enjoy my music or podcasts with these earphones, as the sound was so poor it was borderline unbearable.Flimsy Build Quality: Right out of the box, I could tell these earphones were poorly constructed. The plastic used in their construction felt cheap and fragile. Within a few days of use, one of the earpieces started to crack, and eventually, it completely fell apart. It's clear that no attention was given to durability during the manufacturing process.Uncomfortable Fit: The design of these earphones is incredibly uncomfortable. They did not come with different-sized ear tips, so I was stuck with a one-size-fits-all solution that didn't fit my ears properly. I couldn't wear them for more than a few minutes without experiencing discomfort and pain.Terrible Noise Isolation: I expected these earphones to provide at least some level of noise isolation, but they failed to do so. I could hear external noises clearly, which completely defeated the purpose of using earphones. It was frustrating to have to raise the volume to drown out background sounds, further exacerbating the poor sound quality.Inadequate Customer Support: When I contacted customer support to express my concerns and request a refund or replacement, I was met with indifference. The representative seemed disinterested and unhelpful, providing no satisfactory resolution to my problem. It was an incredibly frustrating experience that left a sour taste in my mouth.Overall, I regret purchasing these earphones. They are a prime example of poor quality and lackluster performance. I would strongly advise against wasting your money on this product. Look elsewhere for earphones that offer better sound quality, durability, and customer support","Reviewed in India on 4 June 2023","Product is faulty","1.0 out of 5 stars","https://m.media-amazon.com/images/I/61oV2+3g-eL.jpg","2","Triple Black"
"R295V6GFLOTZQ2","Placeholder","Being a Bose fan bought it.Has same quality that you expect from a Bose product.In terms of sound quality, which is the primary reason for buying a new earbud, it’s more or less same sound quality like Sound sports free. No plus stars there!Wireless charging is a plus.Sleeker look is a plus.Touch controls is a plus.A big blunder - You can’t control volume from the earbud, you have to do it through the connected source device. Why would Bose forget a volume control on the earbuds! It’s a touch control enabled earbud so some gestures in the earbuds could have been enabled to control volume as well - sadly that’s missing!More or less all the pluses are software driven.One major drawback in the earbuds is that unless you pump up the volume to beyond 80% the output of volume is abysmal.Most of bass and depth is only heard when you pump up the volume to 80% or above.Voice assistant on IPhone is only confined to Siri and doesn’t have options for Google or Alexa yet.Equalizer settings are missing too.Needs more software upgrades to incorporate these missing features.If sound quality is the only criteria then last Bose earbuds are as good and these can be skipped.Of course if you want the touch and wireless charging then go for these.Software seems to need several more upgrades to incorporate the missing features.","Reviewed in India on 17 October 2020","Software Driven Upgrade - Not Really Bang For Buck!","3.0 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/61Dh0UxTyfL.jpg
https://images-na.ssl-images-amazon.com/images/I/61VijZaUfrL.jpg","85","Soapstone"
"R28WZ1K332UBBA","Mushtaq A Khan","Great product for music lovers. Music quality is awesome and soothing to ears.But the size is slightly bigger.","Reviewed in India on 16 November 2023","Bose Ear buds","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71xgp09xEKL.jpg","0","Triple Black"
"R299BP1W3JLXWB","Placeholder","Plug in is tedious in the beginning. But after getting habitual and opting for best fit earplugs (without hurting the ears) it's a musical heaven... Only couple of flaws..1. Cannot use it driving a bike2. Always need to keep volume of Nord 2T 5g above 65%","Reviewed in India on 19 October 2023","Boss of audio world","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61HfkswV4gL.jpg","2","Triple Black"
"RDI4FXEFS9RC2","Jolly S.","I have been Using sennheiser CX400bt,Airpods pro for gym and office work.But these pairs have past all those earbuds.Music-You can hear all the Details.Like background music , Rhythm and Base of music with all the bass boom with no loss of vocals and Mids.These headphones doesn’t gives you the spatial audio which Comes with airpods on apple devices.Bluetooth-Easy to pair like any other,if you play BGMI there is no lag in hearing footsteps,Gun shots from long range.Providing really low latency.Noise canceling-Unbelievable. After an update these headphone sense the noises of surrounding and automatically configure the value of NC.You will be getting quiet and aware mode. you can make custom settings for ANC also.Video and movies- No lag at all in lipsync and sound.The environmental sound coming loud and clear.The detail level of sound in the movies is audible purely.Case-Comes with Wireless charging case like Airpods pro.Get fully charged rapidly.Fit-Great for workout and running ,Can not fall easily.But feels little heavier than Airpods pro.Sound stage-Excellent sound stage sound.you will feel like its not coming inside the head.Felt like speakers are around the ears.I have you used other headphones in the particular range,But still Bose is Bose.","Reviewed in India on 2 October 2022","Bose Is Bose!!","5.0 out of 5 stars","https://m.media-amazon.com/images/I/716eS3rIDWL.jpg","5","Triple Black"
