"id","profileName","text","date","title","rating","images","helpful","variant:"
"RCENMF5CUSRTU","Rudra","Its very annoying to find product which is neglected and man-handled like this. It seems fine until you find this in package and one bud producing ringing sound which is so extreme, causes head-ache.Better to order from samsung store.","Reviewed in Australia on 31 May 2023","Good product // bad handling","1.0 out of 5 stars","https://m.media-amazon.com/images/I/51BGKERWWiL.jpg
https://m.media-amazon.com/images/I/51EFJYlETqL.jpg
https://m.media-amazon.com/images/I/61hJk6WI4bL.jpg","0",
"R2MVR88SCX8DHZ","Keekee","This is the second pair of wireless earbuds that I've owned, but the first one that I bought.I've had them for 4 months at this point.✓ The most important feature for me was the comfort of the buds. Most earbuds make my ears sore after any use longer than half an hour. I can wear these for hours at a time for days in a row if I want to.✓ The noise canceling feature was also important for me. Even when they aren't in active noise canceling mode, I can't hear my partner (who has a deep and booming voice that's known to travel) when they're in the next room with the door open.✓ The charging case can seem like it takes a while to fully charge, but I feel like it's worth it due to how long it stays charged and how many uses I can get from it.✓ The sound quality is the best I've experienced from any headphone or earbud (not that I've tried a lot). The sound is clear, and I don't need to have my media up ridiculously high just to hear it anymore.✓ The buds are magnetically pulled into their ports but aren't difficult to remove.✓ It's perfect for traveling. The case is compact and the cord is short and comes in a little box to keep it organized.✗ The case is sleek. I dropped it within seconds of picking it up out of the box because it slipped right out of my fingers.✗ I was under the impression that I wouldn't need to install the app to use the different functions of the earbuds. It could be that I just haven't figured it out, but any time I try to delete the app, I have issues with getting the earbuds to work properly.✗ Initially, I was impressed that these buds stayed in my ears as I went about my business, but it's gotten to a point where I do have to be mindful when they're in. If I smile too widely, they pop out. If I turn my head too fast or look up and to the side, they pop out. Sometimes they'll pop out when I bend to pick things up.","Reviewed in the United States on 21 January 2024","No regrets, will buy again if needed.","4.0 out of 5 stars","https://m.media-amazon.com/images/I/512VdfVDbtL.jpg
https://m.media-amazon.com/images/I/51E6WfdTzhL.jpg
https://m.media-amazon.com/images/I/51ML5+wqnfL.jpg
https://m.media-amazon.com/images/I/51OmqsBh1eL.jpg
https://m.media-amazon.com/images/I/51wcnJVnRWL.jpg
https://m.media-amazon.com/images/I/61PfM926KOL.jpg
https://m.media-amazon.com/images/I/61W3qQPfj4L.jpg
https://m.media-amazon.com/images/I/61uN6Yj6GBL.jpg","0",
"R2BGGUCCDV8913","MARISELA CALDERÓN JURADO","Los recomiendo, llegaron antes de tiempo en cuanto logística de entrega super bien, el producto llego intacto y funciona excelente.","Reviewed in Mexico on 26 January 2024","Calidad","5.0 out of 5 stars","https://m.media-amazon.com/images/I/51bw7KmoLmL.jpg","0",
"R9FSBMSCTV8A7","marleny pena","I love it!!! It took me soo long to buy it them, but it was worth it!!","Reviewed in the United States on 30 January 2024","Awesome!!!","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61ymlOIR9pL.jpg","0",
"R10KZ6UC2NH16X","Steve Yount","Great product! I love how it shows the percentage of battery life of the case as well as the ear buds on my phone. The only downside is that I have to keep adjusting the buds in my ear because they keep coming loose and almost falls out. I wear them when working and running and it can be annoying when I have to keep pushing them back in and turning it a bit in my ear like screwing a bolt in my ear.","Reviewed in the United States on 4 October 2023","Great, but....","4.0 out of 5 stars","https://m.media-amazon.com/images/I/617oweaV+YL.jpg
https://m.media-amazon.com/images/I/61xLDkuApYL.jpg","3",
"R3OSPN3T4770FU","Donna Munoz","Love the new look. Sound is clear and noise cancelling is Great..","Reviewed in the United States on 28 October 2023","Great buy","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61JqSxi16WL.jpg
https://m.media-amazon.com/images/I/71Ho9K5rzlL.jpg","0",
"R1M7PRZY62WO3I","Christian A.","These are the best ear buds and has the best noise canceling I've never heard. Great Sound and I would bye again.","Reviewed in the United States on 18 December 2023","Best Noise Canceling Ear Buds.","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61FKKeKQE4L.jpg","0",
"R3DWQHTPQ29YT3","Sam ","These buds are really great! After two days, I'm very satisfied. I previously had the live buds, still do. However when I used the live buds, when I'm at home, they work just fine but when I start walking outside or when I'm at the gym, the live buds weren't for me. Now that I have the Galaxy Buds 2, I'm definitely satisfied, the ear buds stay in sync with each other when i workout, they're comfortable, music sounds great and in perfect tune. The battery life gets me through my entire day which is a plus.","Reviewed in the United States on 24 October 2023","Galaxy Buds 2","5.0 out of 5 stars","https://m.media-amazon.com/images/I/6119rpJ59hL.jpg
https://m.media-amazon.com/images/I/61GzRb5X4iL.jpg","3",
"R1STGT0L3J64TD","Cristopher tejada","Buenos audifonos tienen excelente calidad y dura mucho la carga gracias 🙂","Reviewed in the United States on 10 December 2023","Buen producto","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71GclI+9kmL.jpg
https://m.media-amazon.com/images/I/71VctL48FFL.jpg
https://m.media-amazon.com/images/I/71hpdI+l1nL.jpg","0",
"R21QW6BL2KYQMW","Dewayne Chandler","Full bass, superior noise cancelling/adaptive.  Very durable, they stay in my ears no matter what I'm doing.","Reviewed in the United States on 7 January 2024","Best earbuds ever","5.0 out of 5 stars","","0",
