"id","profileName","text","date","title","rating","images","helpful","variant:colour","variant:style name"
"R3RE38OETKXLGF","Kuldeep Kumar","First of all I am writing this review after using these extensively for about 8 months and I was so impressed with the overall sound quality, functionality and battery backup of these TWS that I bought three of these. Two from amazon and one from offline market.PROS1. Sound Quality: The sound quality is great for this budget. You will enjoy watching movies and listening to songs on these. The trebble is good so you will hear the dialogs very clearly. Base is decent at this price point but don’t expect them to be too good on the base as these are budget TWS but again the sound is great for what you are paying for.2. Battery Backup: For this budget the battery backup on these tiny things is outstanding. You can easily watch a full 3.5 to 4 hour movie without worrying that the battery will die. Infact, I have even used these straight for more than 4 hours and its battery never gave up on me. Adding to that, the case itself has its own battery so the buds will charge as soon as you put them back in the case so basically the battery lasts for more than a week if you use them daily on regular basis for 3-4 hours daily.3. Durability: After using them for about 8 months I can assure you that these will not fail on you and are very durable. All three of them which I bought are working fine without any issues. I also suggested them to some of my friends and collegues and their TWS are also working fine till date.4. Touch Sensors: You get touch sensors on each of the buds which you can use to play, pause, skip tracks, next and previous songs in the list, picking up calls etc.5. Latency: On normal mode I didn’t find them lagging behind but if you want to use them for gaming with super low latency then it comes with something called ‘BEAST MODE’ which further improves latency but at the cost of faster battery drain. So you can definitely use them for gaming. To switch to ‘Beast Mode’ just tap thrice on the touch sensors on any of the buds.6. Size: These are tiny. You can see the photo where I have put them besides a AA battery to have an idea of their size. So you can put these in your pocket without making them bulky. These are super portable.7. USB C Charging: These have a USB C port for charging so you can charge these easily with your phone charger. You can also find a USB A to C charging cable inside the box.8. Connectivity: Pairing these with your phone is super simple and quick. The phone remembers the connection so when you turn your Bluetooth on next time it will connect automatically to these. Moreover, you can use only one bud at a time and keep the other one in the case and later one if you do decide to use both then you can simple take out the other one from the case and it will connect automatically with the one already connected to your phone.9. Different size ear plugs: These also comes with different size ear plugs so you can pick one that fits your ears for better comfort.10. Fast charging: Once you put the earbuds inside the case they charge real fast so even if they run out of battery (which they don’t, trust me) you can charge them up in just 5 minutes for almost an hour of playback.11. Battery level LEDs: The case have four LEDs on the front that shows you the battery level and charging status. You can also see the battery percentage of the buds on the phone when they are connected to it.CONS:1. Build: Though the build is very good, out of three I bought two of them came with a loose cap that was a little wobbly. Though the wobble was very minimum but still I felt that the build quality is not consistent.2. Less Base: The base not these TWS is not that great but as I said these are budget TWS that comes with decent base for the price.3. Range: The range is surely not their strength. You will loose connection if you go far from your source OR will experience sound drop if anything like wall etc. comes between these TWS and the source. But if you are sitting close to the source with clear line of sight in 3-5 m radius then you will have best connection without any signal drops. Additionally I also experienced signal drops when they have almost 20 to 30% battery left so make sure you keep the buds and case charged above these levels.4. Not for workouts: These will slip from your ears if you use them for intense workouts or jogging as they don’t have the ear hooks.5. Battery percentage: You cannot see the exact battery percentage for the case as it does not have a display.6. USB C Cable: The supplied USB C cable is very short as you can see in the pictures. But since everyone will most likely charge them using their phone charges so it’s not a big deal.7. Microphone: Each of the earbuds have a microphone built in for calling but when I tried these over a call, I got a feedback from my friend that he was not hearing my voice very well when compared to my phone’s inbuilt microphone. So I don’t recommend these for attending voice calls.","Reviewed in India on 12 July 2023","Budget-friendly with Great Sound and Battery Backup!","5.0 out of 5 stars","https://m.media-amazon.com/images/I/6187p7fuGXL.jpg
https://m.media-amazon.com/images/I/71CuOzLQ6VL.jpg
https://m.media-amazon.com/images/I/71yroWnmsAL.jpg","411","Bold Black","Without ANC"
"RYWI29FXU8ZJ3","Sudeep k.","Not power working","Reviewed in India on 30 January 2024","Not power working (boat)","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61b3PK5oC7L.jpg
https://m.media-amazon.com/images/I/61eoxiMxTJL.jpg","0","Bold Black","Without ANC"
"R3ENKUSVAR2PL","RVS","The boAt Airdopes 141 are wireless earbuds that offer a decent sound quality, long battery life, and low latency mode for gaming. They are also IPX4 water-resistant and have touch controls and voice assistant support. However, they also have some drawbacks, such as a bulky case, average noise cancellation, and lack of volume control on the earbuds. Here are some pros and cons of the boAt Airdopes 141:ProsSound quality: The earbuds have 8mm dynamic drivers that deliver clear and balanced sound with good bass. The boAt signature sound is immersive and enjoyable for most genres of music12Battery life: The earbuds have a playback time of up to 6 hours per charge and an additional 36 hours with the case. They also support ASAP fast charge technology that gives up to 75 minutes of playtime with just 5 minutes of charging. The case has a Type-C port for convenient charging12Low latency mode: The earbuds have a BEAST mode that reduces the audio lag while gaming or watching videos. The low latency mode can be activated by tapping the left earbud three times. This feature enhances the gaming experience and syncs the audio with the video12IPX4 water resistance: The earbuds are protected from water and sweat splashes with an IPX4 rating. This makes them suitable for outdoor activities and workouts. They can withstand light rain and sweat without any damage12Touch controls and voice assistant: The earbuds have quick response touch controls that allow you to play/pause music, answer/reject calls, activate voice assistant, and switch between modes. You can also access your default voice assistant (Siri or Google Assistant) with a single tap on the right earbud. The touch controls are responsive and easy to use12ConsBulky case: The case of the earbuds is quite large and heavy compared to other wireless earbuds in this price range. It may not fit easily in your pocket or bag. The case also has a glossy finish that attracts fingerprints and scratches easily34Average noise cancellation: The earbuds have ENx environmental noise cancellation technology that reduces the background noise during calls. However, the noise cancellation is not very effective and you may still hear some ambient sounds while listening to music or talking on the phone. The earbuds also do not have active noise cancellation (ANC) or transparency mode features that are available in some higher-end models34Lack of volume control: The earbuds do not have any option to adjust the volume level on the earbuds themselves. You have to use your phone or other connected device to change the volume. This can be inconvenient if you want to quickly lower or increase the volume without reaching for your phone34ConclusionThe boAt Airdopes 141 are wireless earbuds that offer good value for money with their sound quality, battery life, low latency mode, IPX4 water resistance, touch controls, and voice assistant support. They are ideal for casual listening, gaming, and workouts. However, they also have some drawbacks, such as a bulky case, average noise cancellation, and lack of volume control on the earbuds. If you are looking for wireless earbuds that are affordable, durable, and functional, you can consider the boAt Airdopes 141.","Reviewed in India on 19 July 2023","The boAt Airdopes 141 are wireless earbuds that offer good value for money","4.0 out of 5 stars","https://m.media-amazon.com/images/I/41Wuk5JpRKL.jpg","149","Bold Black","Without ANC"
"R2J8MZX0SYRV4P","Sadim","Same as shown in picture I bought in pure white colour looking amazing working packaging all good go for it.","Reviewed in India on 1 February 2024","Amazing","4.0 out of 5 stars","https://m.media-amazon.com/images/I/618GMZ9x9HL.jpg
https://m.media-amazon.com/images/I/61zahBHzn9L.jpg","0","Pure White","Without ANC"
"RM82665RVQAK4","Sushil Raghunath Bhosle ","The Bluetooth range is said 10 meters but it is not even 4 meters. Some times even get disconnected when phone is in the pocket. I am thinking to return it. Very disappointed ☹️","Reviewed in India on 22 January 2024","Quality is good but...","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61znzo6ieuL.jpg","0","Cider Cyan","Without ANC"
"R1VQ3HOJIPL0SY","Pratik","I am reviewing after approx 10 month using this product. It really deliver a great value for money. I got this at ₹999. Only one problem is it get scratch very easily.","Reviewed in India on 24 January 2024","Value for money....","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61j6DnaU9iL.jpg","0","Bold Black","Without ANC"
"R1JTAJ199QHHVU","Ram Nath Singh","I use this for my study purposes...The best thing about it is its battery backup. I would say go for it... It's a great choice... It's also strong (by mistake I dropped the case but nothing happened)","Reviewed in India on 21 January 2024","Good product at this price point","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61iRCT9pLQL.jpg
https://m.media-amazon.com/images/I/61zmFJG5pLL.jpg","0","Bold Black","Without ANC"
"R1MP07A46CCMAX","Shivangi Chandra","Product quality is very good 😊I'm very Happy","Reviewed in India on 26 January 2024","Voice quality is very good","4.0 out of 5 stars","https://m.media-amazon.com/images/I/5134H72KiXL.jpg
https://m.media-amazon.com/images/I/61P4hBqWNZL.jpg","0","Cider Cyan","Without ANC"
"R1NZ9H6CK3KJ3V","Vaishnavi","Battery life seems to be better than other models available in boat. The annoying thing is that when I put beast mode on, audio could be heared from outside clearly 😐. Otherwise sound quality is damn good !!!","Reviewed in India on 21 January 2024","Cool😎","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61Lnp5+pFcL.jpg","0","Gunmetal Black","with ANC"
"R1UXU9EGVTC0HH","Komal dev Yadav","Mai isko 6 moth se use kr rha hu bhut aacha hai","Reviewed in India on 30 January 2024","This bluetuth is very nice 👍","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61HbqMDMkmL.jpg","0","Gunmetal Black","with ANC"
