"id","profileName","text","date","title","rating","images","helpful","variant:colour","variant:style name"
"R259V1H8TBEFMN","Shivalik Halder","I have been using the Oneplus Buds Z2 for more than a 1.5 years now and that is perhaps the best TWS headphones at that given price. It has great features, great sound, great battery life and good noise cancellation. But I was still searching for another TWS. Why? Because I am not a fan of bass. My only two reasons for not liking the Buds Z2 is that it is bass heavy, and it is too loud. This is what most people want, but my music preferences are not like that. So when I read reviews about the Sony WF C500, I thought of buying it. But that changed was that I got the Song WF C700N at under 5000 in the Great Indian Festival. And what impressed me most the most is the sound. The sound isn’t too bassy. It balanced. Some might call it flat and boring too. Because it won’t excite you if you are someone who loves bass. But I loved the sound. I was amazed what a 5 mm dynamic driver could do. Yes, small driver means the volume isn’t as loud as Oneplus, but I could never use the Oneplus over 20 percent volume as it would hurt my ears. The Sony is much more soft and has a warm sound tone. It packs good punch and if you want you have a full equaliser at your disposal in the Headphones Connect app. And you can play along with the already created profiles or make custom ones. Adjust the sound to your likings and you will be amazed at the sound. The connection is easy too and the app is easy to use. I would say for the price I got it at, the sound punches much above the class.But that’s about it. If you look for features, look away. The buds have a continuous battery backup of around 8 hours approximately and the case holds one additional charge. You will get approximately 16 hours of playtime with ANC turned on. The case takes 3 hours ro fully charge however there is a fast charge feature where you can charge for 10 mis and use for some 2-4 hours. There are no touch controls, however the buttons are very tactile and a breeze to use. The buds have IPX4 though. And it is one of the lightest set of TWS I have ever used. So don’t look for any features. As the competition offer much more at lesser price.But that I loved, I will repeat again, is the sound. And the customisation available for the sound. The experience is premium. The connection is easy for both Android and iOS. For someone who loves to play around with different types of music, this is a great pair of TWS if you get it under 6000 I would say. This would be an audiophile’s dream budget TWS if you look at it that way. But it for the amazing sound and nothing else.","Reviewed in India on 10 October 2023","Premium sound and that’s all there is to offer","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71cpAPs-0mL.jpg","47","Black","WF-C700N"
"R3HVMIOD0JPK1N","Akshay","Design:- Looks really goodSound:- Quality good, but background sound is leaking in- Bass really goodMicrophone:- Really bad -- voice keeps cutting and volume changes randomly of the voice- Not recommended for workSuitable for only leisure purposes, but those with smaller ears may need to look elsewhere.","Reviewed in India on 6 January 2024","Good for media content, bad for calls","3.0 out of 5 stars","https://m.media-amazon.com/images/I/61lkYDUHuVL.jpg","4","Orange","WF-C500/Orange"
"R91D7EYRGO9OQ","Jogabrat Nath",false,"Reviewed in India on 2 February 2024","Good sound quality","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61bPkG+T4jL.jpg","0","Black","WF-C500/Black"
"R3RE3M6Y45HJFX","Amazon Customer","Perfect for a daily dose of tranquility filled music•You have to compromise the noise cancellation feature from the mic while at the midst of a call in a heavy surround noises (traffic)•You can have a peaceful conversation in the call in a quiet room•People who prefers music over anything, this product is worth purchasing• Gaming in with this earphone is a personal preference because it has latency~Good for CODM and average for BGMI/PUBG","Reviewed in India on 20 December 2023","Sony C700","4.0 out of 5 stars","https://m.media-amazon.com/images/I/81glo1S5DcL.jpg
https://m.media-amazon.com/images/I/81z7wDdlzML.jpg","2","Sage Green","WF-C700N"
"RICF8ZAV9INLU","Delivery is Good","One full charge the earbuds and case will work for 4 to 5 days. Daily of 3 to 4 hour of listening music and video.Call quality is good. In the room. Don't know about the outdoor or while traveling. Battery consumption during call didn't check.Recommended for music listeners. On full charge of earbuds you can listen music upto 4 hours with 50% percentage of remaining.Audio quality and noise cancellation is good.Audio quality in Spotify and YouTube music is outstanding. With 70%  of volume.Nosie cancellation is okay.Typical ear was paining continuous use after 3 hours.Brought this product for 4k.Overall is good.Jeans pockets fit like a large capsule.😂😂😂","Reviewed in India on 5 November 2023","Review after 6 days (Music and video usage)","4.0 out of 5 stars","https://m.media-amazon.com/images/I/41m5FVubeJL.jpg
https://m.media-amazon.com/images/I/51aCoYC9eiL.jpg
https://m.media-amazon.com/images/I/61hYePbiupL.jpg
https://m.media-amazon.com/images/I/61tpkG33-5L.jpg","0","Black","WF-C700N"
"R2UV4TCQIWAR0D","Anshul","These earbuds are very good for the price i paid for them! They provide clear sound quality and the sound separation is also pretty good.The fit is amazing, like seriously!They also don’t hurt even with long hours of use.You can also change equalisers as per your likings!I also really like the design of these earbuds.They do have the white noise issue when the the music isn’t playing but for me it wasn’t a big deal. Its a bit annoying but not a deal breaker.Overall im happy with my purchase!","Reviewed in India on 13 November 2023","As expected!","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61OXJ7TtYPL.jpg
https://m.media-amazon.com/images/I/61q4tp40JbL.jpg","0","Black","WF-C500/Black"
"R1K1LTR8QVQGRK","bayya santhi swaroop","Just received this mini beast. As of today everything is working fine. My previous sony wired ear phones survived for 4 years and still running. So went to the same brand of tws. Hope this also pulls for long run. Will update the review in the long run.Features:Lightning Bluetooth connection, 360 audio, super bass and beats, slight problem for ear fitting initially as it doesn't have long stems but try with different positions and buds, u will find one, case lid was smooth, felt like loosing connection within 5+ mts distance, usage with third party makes this product much value for money.","Reviewed in India on 23 October 2023","Mini beast","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61HRG+yaadL.jpg
https://m.media-amazon.com/images/I/61dRMhmtkML.jpg
https://m.media-amazon.com/images/I/61tOOHRe9NL.jpg
https://m.media-amazon.com/images/I/61wjZYnhEnL.jpg","0","Black","WF-C500/Black"
"R3A946RNRLPVKP","Kartik","As i have read reviews of these headphones but no such clearly about its quality of sound. Basically these headphones are underrated but truly in this price of 3.5 k no better tws are available to beat these tws.Sound quality is just awesome and fitting is phenomenal","Reviewed in India on 19 January 2024","""Sony is Sony""","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61t4Tdh9tHL.jpg","0","Black","WF-C500/Black"
"R1AYYOEBMQ7A4R","rajeshrao","1) Older version (Wfc-500) looked premium2) everything feels ans looks palsicky3) buttons are loose (good and bad depending on condition )4) good anc5) fixed charging issue with head phones,New version uses strong magnets 🧲","Reviewed in India on 10 November 2023","Good upgrade from previous version","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61HZeYDKL9L.jpg
https://m.media-amazon.com/images/I/61WVnve+soL.jpg
https://m.media-amazon.com/images/I/61hPSe86IzL.jpg","0","Black","WF-C500/Black"
"R2G8J9ZP9PE51A","Dr manish","Over all nice product.","Reviewed in India on 7 January 2024","Good 👍","3.0 out of 5 stars","https://m.media-amazon.com/images/I/61uUlCyeBhL.jpg","0","Green","WF-C500"
