"id","profileName","text","date","title","rating","images","helpful","variant:colour","variant:size","variant:style name"
"R3E3MV327DY0VQ","Kavish Dani","I used one plus buds previously and i was not happy with the product as it gave pain in my ears after some use.Well coming to nord 2 buds i was skeptical whether to buy or not. But let me tell you i am totally satisfied with the product this time.Case is very strong the hinge is of superb qualtiy if you shake it the upper part will not shake a little so good built qualtiy and good pairing response. One plus devices will have advantage of auto connect and it doesn't need pairing process to be followed where as for other device you have to download app helomelody for changing the function of buds.Coming to the buds. 5 star voice quality and bass is superb. The fit is so soft and it feels very light in ears. I tried riding bike at 100 while wearing it no issues it was in the place properly also tried shaking the head and running no issues. Buds can be controlled via app helomelody and one plus device have the software built in.Check the app screenshots. First is anc control. You will feel the difference when switching it from anc, off and transparent. You can listen how it will feel when you listen music or speak on call in transparent mode. You can feel the difference awesome feature. Anc will take more battery please note.Sound master let's you select equaliser and increse the bass wave.Game mode is for reducing latency while gaming.Earbud control. You can select 6 functions 3 each buds and that's an upgrade from one plus buds. There is single, double and triple tap. I have keptRight bud double tap next song/take calls, triple tap for previous trackLeft bud double tap voice assistant, 3 nonesingle tap for play for both right and left bud.Touch and hold for changing the anc mode or transparency mode.It also has tap feedback feature means when you tap he word it makes a click sound so that you can know how many times you have tapped the buds. So while you tap it thrice and hear two click sounds that means you have tapped twice and buds will respond to the function assigned to 2 taps.The best feature i found out is device switching. If your buds is paired with multiple devices then you can switch device by tap and hold for 3 secs it will connect to other device easily. I have tried in 2 phones haven't checked for more than 2 device or laptop.Overall it's  worth to buy this buds not to forget all these features on reasonable price. I loved it. It's far better than the one plus buds. Nice work one plus...If you are confused between buds nord and buds nord 2 there is a difference if bluetooth version and drivers that's it.Best and within budget...Edit: while driving the other person will hear lots of noise and speaking on call while driving a 2 wheeler is not at all possible, be aware of that I tried every modes but it just doesn't help.","Reviewed in India on 25 June 2023","Flawless ear buds. Value for money","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61ZjJ6-G6LL.jpg
https://m.media-amazon.com/images/I/61pBXiW1bGL.jpg
https://m.media-amazon.com/images/I/71D1NaWnymL.jpg
https://m.media-amazon.com/images/I/71YVAU7w05L.jpg","38","Thunder Grey","Extra Large","Nord Buds 2"
"R3KZ33F03CZR92","Raj Kriti Sinha","Ordered during Great Indian Festival.Effective price after SBI Discount was Rs. 2250/-I ordered this product after thorough research.And I am happy that for this price, it exceeds my expectations.Design - Similar to Nord Buds the first. But, both the gray and white colors have some faint dotted design over the case and the stem of the buds. Faint flue dots over white. I was not prepared for that, at first glance, it looks a little dusty but can be overlooked.Both the case and buds are very lightweight and easy to carry.However, what I found to be a downside is that the buds dont have any magnetic attraction between them, so while they're easy to place in the case, outside the case they can't be clubbed together.Fit - Fits perfectly. No pain/discomfort. When I move my head from side to side, they stay put. I ran on the treadmill for a few minutes at 12kmph. They didn’t even budge. It didn’t feel like they would slip out. Which is great.Call Quality - The thing I was most worried about. And it passes the test. I live on a quiet street though - The other person is able to hear me loud and clear, and sometimes, ambient sound is also audible to them but the volume of that sound is much lower than my voice so it is not bothersome. Even in busier surroundings, no one has complained about my call quality yet!Audio Quality - I'm quite fond of listening to loud music. This does more than just justice to the loudness. I am more than happy listening at 50% volume. It’s definitely bass heavy. The quality of the sound is clear and crisp. I am very happy.ANC - It was not a priority for me, however, I did try it. Noise cancellation is definitely very effective. It does as much as promised, not more. However, there is a faint hissing sound. But it doesn’t bother me when playing some music or audio.Hey Melody - Its NOT detecting my earbuds yet lol. I'm an apple user. Let's see I'll try pairing it properly.Switching between devices - Unpair with one to pair with another. Not much of a hassle though, its fairly quick. And it automatically pairs with my phone as soon as I take it out of the case.Battery Life - Yet to be explored! I’m someone who carries all my chargers on the go and tend to keep all my devices well charged, so I don’t think I’ll be able to face much issue.My Personal Reasons why I didn't go for Buds Z2 even though my budget was flexible -1. In Ear Detection - if it goes haywire, I don't think there's an option to turn it off.2. Glossy finish - I was afraid it would slip out.3. It was released in 2021. About time we got a Z3, no?Reasons why I wanted Z2 -1. 3 mics2. Google pairing - easy switch between devices3. More premium productAm I happy I went with this and not with Z2 - MOST DEFINITELY YES!!!","Reviewed in India on 10 October 2023","Stop overthinking & trust me on this one - does more than just the job at a budget price!","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61D4h5mku4L.jpg
https://m.media-amazon.com/images/I/61GT6m8ZHlL.jpg","117","Lightning White","Extra Large","Nord Buds 2"
"R2LVN60HHEMJBM","Archit C.","As I've used OnePlus Nord Buds 1 as well so i can say that there is good  improvement made in Oneplus Nord Buds 2.The bass was my first priority so yes I'm satisfied with it, the basswave feature helps a lot at that time. The ANC is okay but it reduces a pretty good amount of surrounding noise. The battery is also very great for bing listening of music.Everything is great in this price as I bought it during Republic Day Sale, which cost for ₹2,499","Reviewed in India on 18 January 2024","Recommended for bass lovers!","4.0 out of 5 stars","https://m.media-amazon.com/images/I/51gfRRwBmKL.jpg
https://m.media-amazon.com/images/I/611Y007P7IL.jpg","0","Thunder Grey","Extra Large","Nord Buds 2"
"R1LRTHRB41IVHV","Hemant Choudhary","Battery: averageFitting: greatSound: ultra greatDesign: fantasticNoise cancellation: okay not great but really work wellConnect 2 device with different earbuds at same timeEasily shift between 2 connected devicesBest earbuds before I try boat airdopes they are not great but OnePlus give something greatAankh band karke khareed lo","Reviewed in India on 24 January 2024","Fitting is much more better than boat and other brands comes at this price range","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61VyvnQtYFL.jpg
https://m.media-amazon.com/images/I/61ej8d4t-2L.jpg
https://m.media-amazon.com/images/I/61m2Su29ycL.jpg
https://m.media-amazon.com/images/I/61sr90k4h2L.jpg","0","Lightning White","Extra Large","Nord Buds 2"
"RQ8OBQBDROXJI","Vishnu deo","Although these tws buds are very nice in its sound quality but it's design is not quite practical for use it for long hours , you won't feel comfortable in wearing these for long hours and sometimes you can pain also.","Reviewed in India on 24 January 2024","Nice but 🙂","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71bO3QUdUCL.jpg","0","Thunder Grey","Extra Large","Nord Buds 2"
"R4CK09VKJ9UR4","Gurumurthy","Got this for 2500 in sale. Interms of connectivity and battery life  it does great. I have to say music listening experience is fascinating especially using only music related app like Spotify. It delivers immersive listening feel.If you ve oneplus mobile than you love this connectivity pop up whenever you open the case, really it is cool😎 to watch.","Reviewed in India on 15 January 2024","Fantastic.. Loved it","4.0 out of 5 stars","https://m.media-amazon.com/images/I/51nep6r09wL.jpg","0","Thunder Grey","Extra Large","Nord Buds 2"
"R2S19VWXM51GOJ","Tanmoy Mondal","Premium sound quality & battery backup also good.","Reviewed in India on 31 January 2024","Oneplus nord buds 2","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71TondiAf4L.jpg
https://m.media-amazon.com/images/I/81717f2fh2L.jpg","0","Thunder Grey","Extra Large","Nord Buds 2"
"RB0GZK2IL40JI","Puspendu ","If you love bass then this is right product you need to buy...","Reviewed in India on 30 January 2024","Bass:-","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71a0H1WpoBL.jpg","0","Thunder Grey","Extra Large","Nord Buds 2"
"R2HGNCWLGNHAGQ","Prosenjit Roy","Good Looking. Sound Quality is impressive. Calling quality ks really good. At Rs.2499 go for it.","Reviewed in India on 23 January 2024","Loved it.","4.0 out of 5 stars","https://m.media-amazon.com/images/I/718btdrcK1L.jpg
https://m.media-amazon.com/images/I/71An-VdCMUL.jpg
https://m.media-amazon.com/images/I/71IK7JGu03L.jpg
https://m.media-amazon.com/images/I/81YJvKx1lSL.jpg
https://m.media-amazon.com/images/I/81ePBYJShQL.jpg","0","Lightning White","Extra Large","Nord Buds 2"
"R2DN5QT9Q7EG5C","Nice pick at good price","Everything is fine, battery and quality is top notch","Reviewed in India on 22 January 2024","Nice pick","4.0 out of 5 stars","https://m.media-amazon.com/images/I/51mXQDVrymL.jpg","0","Lightning White","Extra Large","Nord Buds 2"
